a,啊
siakia,摔椰
siakia,siak,iâ
siakisiaktoh,摔椅摔桌
siakisiaktoh,siak-í-siak-toh
siako,寫稿
siako,siá-kó
siaksau,摔-sau
siaksau,siak-sau
siaktshek,摔粟
siaktshek,siak-tshek
siakua,寫歌
siakua,siá-kua
siamia,捨命
siamia,siá-miā
siamkongteng,閃光燈
siamkongteng,siám-kong-teng
siamkuinn,閃光
siamkuinn,siám-kuinn
siamlaksa,暹叻沙
siamlaksa,Siām-la̍k-sá
siamnih,閃䁥
siamnih,siám-nih
siamsit,閃失
siamsit,siám-sit
siamte,暹地
siamte,siām-tē
siamtshapuinn,暹炒飯
siamtshapuinn,Siām-tshá-puīnn
siamua,暹話
siamua,siām-uā
siamui,射門
siamui,siā-muî
siana,謝籃
siana,siā-nâ
siang,像
siang,siāng
siang,siâng
siang,像
siang,siâng
siang,siāng
siangban,上慢
siangban,siāng,bān
siangbo,上無
siangbo,siāng,bô
siangheng,像型
siangheng,siāng-hêng
siangho,上好
siangho,siāng,hó
siangim,像音
siangim,siâng-im
siangka,像佮
siangka,siāng-kah
siangkai,上蓋
siangkai,siāng-kài
siangkahkong,像佮講
siangkahkong,siāng-kah,kóng
siangkan,相干
siangkan,siang-kan
siangkee,上加
siangkee,siāng-kee
siangkhibee,上起碼
siangkhibee,siāng-khí-bée
siangkhong,雙壙
siangkhong,siang-khòng
siangkhuan,像款
siangkhuan,siâng-khuán
siangkhuan,siāng-khuán
siangkin,上緊
siangkin,siāng,kín
siangku,上久
siangku,siāng-kú
siangkuan,相關
siangkuan,siang-kuan
siangmui,雙門
siangmui,siang-muî
siangpan,像班
siangpan,siāng-pan
siangpeng,雙爿
siangpeng,siang-pêng
siangse,上細
siangse,siāng-sè
siangsenn,雙生
siangsenn,siang-senn
siangsennakiann,雙生仔囝
siangsennakiann,siang-senn-á-kiánn
siangsi,像時
siangsi,siāng-sî
siangsiangtuitui,雙雙對對
siangsiangtuitui,siang-siang-tuì-tuì
siangsin,相信
siangsin,siang-sìn
siangteitho,上第一好
siangteitho,siāng-tē-it-hó
siangteng,雙重
siangteng,上等
siangteng,siang-têng
siangteng,siāng-téng
siangthaua,上頭仔
siangthaua,siāng-thâu-á
siangtse,上濟
siangtse,siāng,tsē
siangtsha,相差
siangtsha,siang-tsha
siangtsio,上少
siangtsio,siāng-tsió
siangtua,上大
siangtua,siāng-tuā
sianjin,善人
sianjin,siān-jîn
siankeng,仙境
siankeng,sian-kéng
siankiann,癬囝
siankiann,sian-kiánn
sianngak,聲樂
sianngak,siann-ga̍k
siannkhu,城區
siannkhu,siânn-khu
siannmuinn,城門
siannmuinn,siânn-muînn
sianntua,聲帶
sianntua,siann-tuà
sianpo,善報
sianpo,siān-pò
Siansekkiong,先嗇宮
Siansekkiong,Sian-sek-kiong
siansin,善信
siansin,siān-sìn
siansu,善事
siansu,siān-sū
siantshuiphoo,搧喙輔
siantshuiphoo,siàn-tshuì-phóo
siantsoo,仙祖
siantsoo,先祖
siantsoo,sian-tsóo
siapak,瀉腹
siapak,sià-pak
siapgoo,卌五
siapgoo,siap-gōo
siaphe,寫批
siaphe,siá-phe
siapit,寫筆
siapit,卌一
siapit,siá-pit
siapit,siap-it
siapji,卌二
siapji,siap-jī
siapkau,卌九
siapkau,siap-káu
siaplak,卌六
siaplak,siap-la̍k
siaplau,洩漏
siaplau,sia̍p-làu
siapoo,絲仔布
siapoo,si-á-pòo
siappeh,卌八
siappeh,siap-peh
siapsann,卌三
siapsann,siap-sann
siapsi,卌四
siapsi,siap-sì
siaptshit,卌七
siaptshit,siap-tshit
siaseng,寫生
siaseng,siá-seng
siasisiatsiong,卸世卸眾
siasisiatsiong,sià-sì-sià-tsiòng
siasitseng,卸世眾
siasitseng,sià-sì-tsèng
siateng,射程
siateng,siā-têng
siathoo,謝土
siathoo,siā-thóo
siatiaunn,社長
siatiaunn,siā-tiáunn
siationn,社長
siationn,siā-tiónn
siatsau,謝灶
siatsau,siā-tsàu
siatseek,寫仄
siatseek,siá-tse̍ek
siatsekjim,卸責任
siatsekjim,sià-tsek-jīm
siatsheeh,寫冊
siatsheeh,siá-tsheeh
siatsu,設使
siatsu,siat-sú
siatsua,寫紙
siatsua,siá-tsuá
siatteng,設定
siatteng,siat-tēng
siattshiaunn,設廠
siattshiaunn,siat-tshiáunn
siattshionn,設廠
siattshionn,siat-tshiónn
siatuann,寫單
siatuann,siá-tuann
siaueng,肖影
siaueng,siàu-éng
siauengkheng,肖影框
siauengkheng,siàu-éng-kheng
siauengki,肖影機
siauengki,siàu-éng-ki
siauengsu,肖影師
siauengsu,siàu-éng-su
siauengte,肖影底
siauengte,siàu-éng-té
siauengtiam,肖影店
siauengtiam,siàu-éng-tiàm
siauhengtsiu,紹興酒
siauhengtsiu,siāu-heng-tsiú
siaukaueng,痟狗湧
siaukaueng,siáu-káu-éng
siaukaupenn,痟狗病
siaukaupenn,siáu-káu-pēnn
siaukautseng,痟狗症
siaukautseng,siáu-káu-tsèng
siaukee,銷假
siaukee,siau-kée
siaukek,消極
siaukek,siau-ke̍k
siaukeng,痟間
siaukeng,siáu-keng
siaukiann,痟囝
siaukiann,siáu-kiánn
siaukin,痟筋
siaukin,siáu-kin
siaukui,小鬼
siaukui,siáu-kuí
siaulangkeng,痟人間
siaulangkeng,siáu-lâng-keng
siauliankee,少年家
siauliankee,siàu-liân-kee
siaulianlang,少年人
siaulianlang,siáu-liân-lâng
siaunn,廂
siaunn,傷
siaunn,箱
siaunn,賞
siaunn,鯗
siaunn,相
siaunn,𣻸
siaunn,尚
siaunn,想
siaunn,siaunn
siaunn,siáunn
siaunn,siàunn
siaunn,siâunn
siaunn,siāunn
siaunna,箱仔
siaunna,siaunn-á
siaunnbeh,想欲
siaunnbeh,siāunn-beh
siaunnbekau,想袂到
siaunnbekau,siāunn,bē,kàu
siaunnbueh,想欲
siaunnbueh,siāunn-bueh
siaunngai,傷礙
siaunngai,siaunn-gāi
siaunngueh,賞月
siaunngueh,siáunn-gue̍h
siaunnho,傷好
siaunnho,siaunn-hó
siaunnhua,賞花
siaunnhua,siáunn-hua
siaunnhuat,賞罰
siaunnhuat,想法
siaunnhuat,siáunn-hua̍t
siaunnhuat,siāunn-huat
siaunnkhangsiaunnphang,想空想縫
siaunnkhangsiaunnphang,siāunn-khang-siāunn-phāng
siaunnkhi,想起
siaunnkhi,siāunn-khí
siaunnkim,賞金
siaunnkim,siáunn-kim
siaunnkong,想講
siaunnkong,siāunn-kóng
siaunnku,傷久
siaunnku,siaunn-kú
siaunnlang,箱籠
siaunnlang,siaunn-láng
siaunnlui,賞鐳
siaunnlui,siáunn-lui
siaunnmia,相命
siaunnmia,siàunn-miā
siaunnmiae,相命的
siaunnmiae,siàunn-miā,ê
siaunnmiasian,相命仙
siaunnmiasian,siàunn-miā-sian
siaunnphainn,傷歹
siaunnphainn,siaunn-pháinn
siaunnpue,象桮
siaunnpue,siāunn-pue
siaunnsu,相思
siaunnsu,賞賜
siaunnsu,siaunn-su
siaunnsu,siáunn-sù
siaunnsua,相思仔
siaunnsua,siaunn-su-á
siaunntangsiaunnsai,想東想西
siaunntangsiaunnsai,siāunn-tang-siāunn-sai
siaunntioh,想著
siaunntioh,siāunn-tio̍h
siaunntsa,傷早
siaunntsa,siaunn-tsá
siaunntsin,想真
siaunntsin,siāunn,tsin
siaunntsiong,賞獎
siaunntsiong,siáunn-tsióng
siaunntsng,賞狀
siaunntsng,siáunn-tsn̄g
siaunnua,賞畫
siaunnua,siáunn-uā
siaunnuann,傷晏
siaunnuann,siaunn-uànn
siausiaunn,數想
siausiaunn,siàu-siāunn
siausionn,數想
siausionn,siàu-siōnn
siausua,小使仔
siausua,siáu-sú-á
siauthiau,少髫
siauthiau,siáu-thiâu
siauthiaua,少髫仔
siauthiaua,siáu-thiâu-á
siauthiaukiann,少髫囝
siauthiaukiann,siáu-thiâu-kiánn
siauthiu,小丑
siauthiu,siáu-thiú
siautokioh,消毒藥
siautokioh,siau-to̍k-io̍h
siauua,痟話
siauua,siáu,uā
siban,四萬
siban,sì-bān
sibeh,是欲
sibeh,sī,beh
sibinhut,四面佛
sibinhut,sì-bīn-hu̍t
sibio,寺廟
sibio,sī-biō
sibueha,絲襪仔
sibueha,si-bue̍h-á
siek,四億
siek,sì-ek
siginathe,死囡仔胎
siginathe,sí-gín-á-the
siginatsai,死囡仔災
siginatsai,sí-gín-á-tsai
sigueh,四月
sigueh,sì-gue̍h
sih,蝕
sih,sih
siheng,施行
siheng,死刑
siheng,時興
siheng,si-hêng
siheng,sí-hêng
siheng,sî-heng
sihosiphainn,時好時歹
sihosiphainn,sî-hó-sî-pháinn
sihpunhue,蝕本貨
sihpunhue,si̍h-pún-huè
sihuinn,四方
sihuinn,sì-huinn
sihun,時份
sihun,sî-hūn
siim,四音
siim,sì-im
siiu,西柚
siiu,si-iū
sijio,抒尿
sijio,sî-jiō
sikak,四角
sikak,sì-kak
sikakheng,四角形
sikakheng,sì-kak-hêng
sikaktngheng,四角長形
sikaktngheng,sì-kak-tn̂g-hêng
sikau,時到
sikau,sî-kàu
sikebong,四界摸
sikebong,sì-kè,bong
sikee,四下
sikee,時價
sikee,sì-kēe
sikee,sî-kèe
sikekiann,四界行
sikekiann,sì-kè,kiânn
sikeng,詩經
sikeng,si-keng
siketshue,四界揣
siketshue,sì-kè-tshuē
sikhahu,四跤魚
sikhahu,sì-kha-hû
sikhamtiam,四坎店
sikhamtiam,sì-khám-tiàm
Sikhateng,四腳亭
Sikhateng,Sì-kha-têng
sikhatooteng,四跤杜定
sikhatooteng,sì-kha-tōo-tēng
sikhatsua,四跤蛇
sikhatsua,四骹蛇
sikhatsua,sì-kha-tsuâ
sikhek,時刻
sikhek,sî-khek
sikhiaukhiau,死翹翹
sikhiaukhiau,sí-khiàu-khiàu
sikhooliantuinn,四箍輾轉
sikhooliantuinn,sì-khoo-liàn-tuínn
sikhu,時區
sikhu,sî-khu
sikileng,思淇冷
sikileng,si-kî-léng
sikothng,四果湯
sikothng,sì-kó-thng
siku,四句
siku,sì-kù
sikua,西瓜
sikua,si-kua
sikuasng,西瓜霜
sikuasng,si-kua-sng
sikuat,死決
sikuat,sí-kuat
sila,是啦
sila,sī,la
silang,世人
silang,sì-lâng
silangji,死人字
silangji,sí-lâng-jī
silangkeng,死人間
silangkeng,sí-lâng-keng
silangkui,死人鬼
silangkui,sí-lâng-kuí
silangkutthau,死人骨頭
silangkutthau,sí-lâng,kut-thâu
silangtshu,死人茨
silangtshu,sí-lâng-tshù
silau,死流
silau,sí-lâu
sileh,是咧
sileh,sī,leh
silek,視力
silek,sī-le̍k
siliauliau,死了了
siliauliau,sí-liáu-liáu
silo,是囉
silo,sī,ló
silooban,死路蠻
silooban,sí-lōo-bân
sima,是嘛
sima,sī,ma
siman,心絚
siman,sim-ân
simee,是咩
simee,sī,měe
simhek,審核
simhek,sím-he̍k
simheng,心胸
simheng,心行
simheng,sim-heng
simheng,sim-hēng
simho,心好
simho,sim-hó
simkamtsengguan,心甘情願
simkamtsengguan,sim-kam-tsêng-guān
simkeng,心境
simkeng,sim-kéng
simkhah,芯卡
simkhah,sim-khah
simkuannkiann,心肝囝
simkuannkiann,sim-kuann-kiánn
simkuannpopue,心肝寶貝
simkuannpopue,sim-kuann-pó-puè
simlai,心內
simlai,sim-lāi
simlek,心力
simlek,sim-le̍k
simleng,心靈
simleng,sim-lêng
simlimkonghuinn,森林公園
simlimkonghuinn,sim-lîm,kong-huînn
simmui,心門
simmui,審問
simmui,sim-muî
simmui,sím-muī
simnui,心軟
simnui,sim-nuí
simpang,心房
simpang,sim-pâng
simpenn,心病
simpenn,sim-pēnn
simsek,心適
simsek,sim-sek
simseng,心性
simseng,sim-sèng
simsi,是毋是
simsi,sī-m̄-sī
simsuinn,心酸
simsuinn,sim-suinn
simte,心底
simte,心地
simte,sim-té
simte,sim-tē
simtek,心得
simtek,sim-tek
simteng,審定
simteng,sím-tēng
simthiann,心疼
simthiann,sim-thiànn
simtseng,心情
simtseng,sim-tsêng
simtshui,心碎
simtshui,sim-tshuì
sinau,死腦
sinau,sí-náu
sinausu,身後事
sinausu,sin-āu-sū
sinbeng,神明
sinbeng,sîn-bêng
sinbio,神廟
sinbio,sîn-biō
sine,新的
sine,sin,ê
sinhak,神學
sinhak,sîn-ha̍k
sinheng,新興
sinheng,新型
sinheng,身形
sinheng,身型
sinheng,sin-heng
sinheng,sin-hêng
Sinhengkhu,新興區
Sinhengkhu,Sin-heng-khu
Sinhuinnhiong,新園鄉
Sinhuinnhiong,Sin-huînn-hiong
sini,神醫
sini,sîn-i
sinkang,神工
sinkang,sîn-kang
sinkapho,新加坡
sinkapho,sin-ka-pho
sinkaphobihun,新加坡米粉
sinkaphobihun,Sin-ka-pho,bí-hún
sinkau,信教
sinkau,sìn-kàu
sinkee,身家
sinkee,新加
sinkee,身價
sinkee,sin-kee
sinkee,sin-kèe
sinkeng,神經
sinkeng,sîn-keng
sinkengpenn,神經病
sinkengpenn,sîn-keng-pēnn
sinkengsuann,神經線
sinkengsuann,sîn-keng-suànn
sinkhasiau,新家數
sinkhasiau,sin-kha-siàu
sinkheeh,新客
sinkheeh,sin-kheeh
sinkhoopennthiann,辛苦病疼
sinkhoopennthiann,sin-khóo-pēnn-thiànn
sinkhuteng,身軀頂
sinkhuteng,sin-khu-téng
sinkiu,承球
sinkiu,sîn-kiû
Sinkonghuinn,新公園
Sinkonghuinn,Sin-kong-huînn
sinku,身軀
sinku,sin-ku
sinkut,身骨
sinkut,sin-kut
sinkuteng,身軀頂
sinkuteng,sin-ku-téng
sinlat,神力
sinlat,sîn-la̍t
sinlek,新曆
sinlek,sin-le̍k
sinleng,神靈
sinleng,sîn-lêng
sinlo,薪勞
sinlo,sin-lô
sinnbak,豉目
sinnbak,sīnn-ba̍k
sinniau,新娘
sinniau,sin-niâu
sinnioo,新娘
sinnioo,sin-niôo
sinnioopang,新娘房
sinnioopang,sin-niôo-pâng
sinnioosann,新娘衫
sinnioosann,sin-niôo-sann
sinniootshia,新娘車
sinniootshia,sin-niôo-tshia
sinnkiamtshai,豉鹹菜
sinnkiamtshai,sīnn,kiâm-tshài
sinpang,新房
sinpang,sin-pâng
sinphai,新派
sinphai,sin-phài
sinsaithang,新屎桶
sinsaithang,sin-sái-tháng
sinsann,新衫
sinsann,sin-sann
sinsek,新式
sinsek,sin-sek
sinseng,新生
sinseng,神聖
sinseng,sin-seng
sinseng,sîn-sèng
sinsenn,先生
sinsenn,sin-senn
sinsennma,先生媽
sinsennma,先生嬤
sinsennma,sin-senn-má
sinsennnioo,先生娘
sinsennnioo,sin-senn-niôo
sinsenntsiann,先生正
sinsenntsiann,sin-senn-tsiann
sinsian,神仙
sinsian,sîn-sian
sinsiaunn,信箱
sinsiaunn,sìn-siaunn
sinsin,新新
sinsin,sin-sin
sinsionn,信箱
sinsionn,sìn-sionn
Sintek,新竹
Sintek,Sin-tek
Sintekkuan,新竹縣
Sintekkuan,Sin-tek-kuān
Sintektshi,新竹市
Sintektshi,Sin-tek-tshī
sinteng,身頂
sinteng,神燈
sinteng,sin-téng
sinteng,sîn-teng
sinthang,蟮蟲
sinthang,sīn-thâng
sintong,神童
sintong,sîn-tông
sintseng,新增
sintseng,sin-tseng
sintshai,神彩
sintshai,sîn-tshái
sintsheng,申請
sintsheng,sin-tshéng
sintshiu,身手
sintshiu,新手
sintshiu,神手
sintshiu,sin-tshiú
sintshiu,sîn-tshiú
sintshu,新茨
sintshu,sin-tshù
sintshun,新村
sintshun,sin-tshun
sintsiannnithau,新正年頭
sintsiannnithau,sin-tsiann-nî-thâu
sintsianntang,新正登
sintsianntang,sin-tsiann-tang
sintsiau,新鳥
sintsiau,sin-tsiáu
sintsng,新裝
sintsng,sin-tsng
sintsu,神主
sintsu,sîn-tsú
sintsui,神水
sintsui,sîn-tsuí
sinua,神話
sinua,sîn-uā
siobahtsang,燒肉粽
siobahtsang,sio-bah-tsàng
siogintsua,燒銀紙
siogintsua,sio,gîn-tsuá
siohakseng,小學生
siohakseng,sió-ha̍k-seng
siohanghang,燒烘烘
siohanghang,sio-hang-hang
siohbintephue,惜面底皮
siohbintephue,sioh-bīn-té-phuê
sioheng,小型
sioheng,sió-hêng
siohiaunn,燒香
siohiaunn,sio-hiaunn
siohionn,燒香
siohionn,sio-hionn
siohpo,惜寶
siohpo,sioh-pó
siohu,相輔
siohu,sio-hù
siohu,燒魚
siohu,sio-hû
siohuan,小番
siohuan,小販
siohuan,sió-huan
siohuan,sió-huàn
siohue,燒灰
siohue,sio-huè
siohui,小費
siohui,sió-huì
sioin,相應
sioin,sio-ìn
siokan,相幹
siokan,sio-kàn
siokauuann,相交換
siokauuann,sio-kau-uānn
siokbeng,宿命
siokbeng,siok-bēng
sioke,燒雞
sioke,sio-ke
siokeephikgiok,小家碧玉
siokeephikgiok,sió-kee-phi̍k-gio̍k
siokek,相激
siokek,sio-kek
siokeng,相楗
siokeng,sio-kēng
siokguua,俗語話
siokguua,sio̍k-gú-uā
siokhek,相剋
siokhek,sio-khek
siokhi,小氣
siokhi,小器
siokhi,sió-khì
siokhiamsiau,相欠數
siokhiamsiau,sio-khiàm-siàu
siokhihiam,相棄嫌
siokhihiam,sio-khì-hiâm
siokhua,小可
siokhua,sió-khuá
siokhuann,相看
siokhuann,小看
siokhuann,sio-khuànn
siokhuann,sió-khuànn
siokkee,俗價
siokkee,sio̍k-kèe
siokong,相講
siokong,sio-kóng
siokseng,屬性
siokseng,sio̍k-sèng
sioktseng,肅靜
sioktseng,siok-tsēng
sioku,燒龜
sioku,sio-ku
siokuan,燒罐
siokuan,sio-kuàn
Siolammui,小南門
Siolammui,Sió-lâm-muî
siolioha,小略仔
siolioha,sió-lioh-á
siolong,相撞
siolong,sio-lòng
siolooa,小路仔
siolooa,sió-lōo-á
siomee,相罵
siomee,sio-mēe
siomuai,小妹
siomuai,sió-muāi
siongbong,上墓
siongbong,siōng-bōng
Siongguanmee,上元暝
Siongguanmee,Siōng-guân-mêe
sionghaisann,上海衫
sionghaisann,siōng-hái-sann
siongho,商號
siongho,siong-hō
sionghue,商會
sionghue,siong-huē
siongkam,傷感
siongkam,siong-kám
siongkamtseng,傷感情
siongkamtseng,siong,kám-tsêng
siongkang,上工
siongkang,siōng-kang
siongkeeh,相隔
siongkeeh,siong-keeh
siongkeng,誦經
siongkeng,siōng-keng
siongkheeh,常客
siongkheeh,siông-kheeh
siongkhu,上軀
siongkhu,siōng-khu
siongkip,上級
siongkip,siōng-kip
siongku,常久
siongku,siông-kú
sionglang,傷人
sionglang,常人
sionglang,siong-lâng
sionglang,siông-lâng
siongloh,上落
siongloh,siōng-lo̍h
siongmua,常滿
siongmua,siông-muá
siongni,常年
siongni,siông-nî
siongoh,上學
siongoh,siōng-o̍h
Siongpengkhe,上坪溪
Siongpengkhe,Siōng-pêng-khe
siongpi,傷悲
siongpi,siong-pi
Siongsankitiaunn,松山機場
Siongsankitiaunn,Siong-san,ki-tiâunn
Siongsankitionn,松山機場
Siongsankitionn,Siong-san,ki-tiônn
siongsek,相識
siongsek,常識
siongsek,上色
siongsek,siong-sek
siongsek,siông-sek
siongsek,siōng-sek
siongseng,常性
siongseng,上升
siongseng,siông-sèng
siongseng,siōng-seng
siongsi,上司
siongsi,siōng-si
siongsin,傷身
siongsin,傷神
siongsin,siong-sin
siongsin,siong-sîn
siongteng,象徵
siongteng,siōng-teng
siongthau,上頭
siongthau,siōng-thâu
siongthiann,傷疼
siongthiann,siong-thiànn
siongtiau,上吊
siongtiau,siōng-tiàu
siongtiaunn,商場
siongtiaunn,siong-tiâunn
siongtionn,商場
siongtionn,siong-tiônn
siongtseng,詳情
siongtseng,常情
siongtseng,siông-tsêng
siongtshong,上蒼
siongtshong,siōng-tshong
siongtshui,傷喙
siongtshui,siong-tshuì
siongtsun,上船
siongtsun,siōng-tsûn
siongui,傷胃
siongui,上位
siongui,siong-uī
siongui,siōng-uī
sionioo,相讓
sionioo,sio-niōo
sionn,廂
sionn,傷
sionn,箱
sionn,賞
sionn,鯗
sionn,相
sionn,𣻸
sionn,尚
sionn,想
sionn,sionn
sionn,siónn
sionn,siònn
sionn,siônn
sionn,siōnn
sionna,箱仔
sionna,sionn-á
sionnai,想愛
sionnai,siōnn-ài
sionnbeh,想欲
sionnbeh,siōnn-beh
sionnbekau,想袂到
sionnbekau,siōnn,bē,kàu
sionnbueh,想欲
sionnbueh,siōnn-bueh
sionngai,傷礙
sionngai,sionn-gāi
sionngueh,賞月
sionngueh,siónn-gue̍h
sionnho,傷好
sionnho,sionn-hó
sionnhua,賞花
sionnhua,siónn-hua
sionnhuat,賞罰
sionnhuat,想法
sionnhuat,siónn-hua̍t
sionnhuat,siōnn-huat
sionnkhangsionnphang,想空想縫
sionnkhangsionnphang,siōnn-khang-siōnn-phāng
sionnkhi,想起
sionnkhi,siōnn-khí
sionnkim,賞金
sionnkim,siónn-kim
sionnkong,想講
sionnkong,siōnn-kóng
sionnku,傷久
sionnku,sionn-kú
sionnlang,箱籠
sionnlang,sionn-láng
sionnlui,賞鐳
sionnlui,siónn-lui
sionnmia,相命
sionnmia,siònn-miā
sionnmiae,相命的
sionnmiae,siònn-miā,ê
sionnmiasian,相命仙
sionnmiasian,siònn-miā-sian
sionnpue,象桮
sionnpue,siōnn-pue
sionnsu,相思
sionnsu,賞賜
sionnsu,sionn-su
sionnsu,siónn-sù
sionnsua,相思仔
sionnsua,sionn-su-á
sionntangsionnsai,想東想西
sionntangsionnsai,siōnn-tang-siōnn-sai
sionntioh,想著
sionntioh,siōnn-tio̍h
sionntsa,傷早
sionntsa,sionn-tsá
sionntse,傷濟
sionntse,sionn-tsè
sionntsin,想真
sionntsin,siōnn,tsin
sionntsio,傷少
sionntsio,sionn-tsió
sionntsiong,賞獎
sionntsiong,siónn-tsióng
sionntsng,賞狀
sionntsng,siónn-tsn̄g
sionnua,賞畫
sionnua,siónn-uā
sionnuann,傷晏
sionnuann,sionn-uànn
siopat,相捌
siopat,sio-pat
siopeehtshai,小白菜
siopeehtshai,sió-pe̍eh-tshài
siopek,相逼
siopek,sio-pek
siophahke,相拍雞
siophahke,sio-phah-ke
siophakhu,相拍魚
siophakhu,sio-phak-hû
Siophektham,小碧潭
Siophektham,Sió-phek-thâm
siopoohun,小部份
siopoohun,sió-pōo-hūn
siopue,小輩
siopue,sió-puè
siosan,小產
siosan,sió-sán
siosek,相熟
siosek,sio-se̍k
sioseng,小生
sioseng,小牲
sioseng,sió-seng
siosi,燒死
siosi,小時
siosi,sio-sí
siosi,sió-sî
siosia,相卸
siosia,sio-sià
siosiang,相像
siosiang,sio-siāng
siotau,相鬥
siotau,sio-tàu
siotautsau,相鬥走
siotautsau,sio-tàu-tsáu
siotee,燒茶
siotee,sio-têe
siothngthng,燒燙燙
siothngthng,sio-thǹg-thǹg
siotsai,相知
siotsai,sio-tsai
siotse,相坐
siotse,sio-tsē
siotsek,小叔
siotsek,sió-tsek
siotseka,小叔仔
siotseka,sió-tsek-á
siotseng,相舂
siotseng,sio-tseng
siotsham,相參
siotsham,sio-tsham
siotshue,小吹
siotshue,sió-tshue
siotsiah,小食
siotsiah,sió-tsia̍h
siotsiap,相接
siotsiap,sio-tsiap
siotsim,相噆
siotsim,sio-tsim
siotsiohmui,相借問
siotsiohmui,sio-tsioh-muī
siotsiusian,燒酒仙
siotsiusian,sio-tsiú-sian
siotsua,燒紙
siotsua,sio-tsuá
siotsuikuan,燒水罐
siotsuikuan,sio-tsuí-kuàn
siotsuite,燒水袋
siotsuite,sio-tsuí-tē
siotu,相抵
siotu,sio-tú
siotu,燒豬
siotu,sio-tu
siotuithau,相對頭
siotuithau,sio-tuì-thâu
sipah,四百
sipah,sì-pah
sipahban,四百萬
sipahban,sì-pah-bān
sipau,四包
sipau,sì-pau
sipee,死父
sipee,sí-pēe
sipeekaulat,死父夠力
sipeekaulat,sí-pēe-kàu-la̍t
sipeng,四爿
sipeng,sì-pêng
siphai,時派
siphai,sî-phài
sipio,時錶
sipio,sî-pio
sipjikee,十字架
sipjikee,si̍p-jī-kèe
sipkhi,濕氣
sipkhi,sip-khì
siptsuansipbi,十全十美
siptsuansipbi,si̍p-tsuân-si̍p-bí
sipuat,四鏺
sipuat,sì-pua̍t
siseng,死性
siseng,sí-sèng
sisi,噓噓
sisi,抒抒
sisi,si-si
sisi,sî-sî
sisiann,四成
sisiann,sì-siânn
sisiann,四聲
sisiann,sì-siann
sisikhekkhek,時時刻刻
sisikhekkhek,sî-sî-khek-khek
sisin,死神
sisin,sí-sîn
sisinpehji,時辰八字
sisinpehji,sî-sîn-peh-jī
sisitaitai,世世代代
sisitaitai,sì-sì-tāi-tāi
sisiu,世仇
sisiu,sì-siû
sisun,序順
sisun,sī-sūn
sitbeng,失明
sitbeng,sit-bêng
sitbintsu,失面子
sitbintsu,sit-bīn-tsú
Sitengkhe,四重溪
Sitengkhe,Sì-têng-khe
sithe,死胎
sithe,sí-the
sitheng,實行
sitheng,si̍t-hêng
sithue,熄火
sithue,sit-hué
sitiau,四調
sitiau,sì-tiāu
sitiauloo,四條路
sitiauloo,sì-tiâu-lōo
sitiokteng,失約定
sitiokteng,sit-iok-tēng
sitit,死直
sitit,sí-ti̍t
sitiu,絲綢
sitiu,si-tiû
sitiutsiloo,絲綢之路
sitiutsiloo,si-tiû-tsi-lōo
sitkee,實價
sitkee,si̍t-kèe
sitkeng,失敬
sitkeng,sit-kèng
sitkhong,失控
sitkhong,sit-khòng
sitlek,實力
sitlek,si̍t-le̍k
sitloo,穡路
sitloo,sit-lōo
sitsap,四十
sitsap,sì-tsa̍p
sitsapban,四十萬
sitsapban,sì-tsa̍p-bān
sitsapgoo,四十五
sitsapgoo,sì-tsa̍p-gōo
sitsapit,四十一
sitsapit,sì-tsa̍p-it
sitsapji,四十二
sitsapji,sì-tsa̍p-jī
sitsapkau,四十九
sitsapkau,sì-tsa̍p-káu
sitsaplak,四十六
sitsaplak,sì-tsa̍p-la̍k
sitsappeh,四十八
sitsappeh,sì-tsa̍p-peh
sitsapsann,四十三
sitsapsann,sì-tsa̍p-sann
sitsapsi,四十四
sitsapsi,sì-tsa̍p-sì
sitsaptsheng,四十千
sitsaptsheng,sì-tsa̍p-tsheng
sitsaptshit,四十七
sitsaptshit,sì-tsa̍p-tshit
sitse,失勢
sitse,sit-sè
sitseng,施政
sitseng,死症
sitseng,時鐘
sitseng,si-tsèng
sitseng,sí-tsèng
sitseng,sî-tseng
sitsenglau,時鐘樓
sitsenglau,sî-tseng-lâu
sitsengtsiam,時鐘針
sitsengtsiam,sî-tseng-tsiam
sitshaulok,死臭鹿
sitshaulok,sí-tshàu-lo̍k
sitshe,四叉
sitshe,sì-tshe
sitsheng,四千
sitsheng,sì-tsheng
sitshengban,四千萬
sitshengban,sì-tsheng-bān
sitsiam,時針
sitsiam,sî-tsiam
sitsin,失身
sitsin,sit-sin
sitsuinn,失算
sitsuinn,sit-suìnn
sittek,失德
sittek,sit-tek
sittsaiua,實在話
sittsaiua,si̍t-tsāi-uā
sittseng,實情
sittseng,si̍t-tsêng
sittshek,失策
sittshek,sit-tshek
sittshui,失喙
sittshui,sit-tshuì
situa,實話
situa,si̍t-uā
situakee,死豬仔價
situakee,sí-tu-á-kèe
situakiann,序大囝
situakiann,sī-tuā-kiánn
situapui,死大肥
situapui,sí-tuā-puî
siu,是有
siu,sī,ū
siuek,收益
siuek,受益
siuek,siu-ek
siuek,siū-ek
siuhau,守孝
siuhau,siú-hàu
siuheng,修行
siuheng,siu-hēng
siuhengjin,受刑人
siuhengjin,siū-hêng-jîn
siuhong,收風
siuhong,siu-hong
siuhua,繡花
siuhua,siù-hua
siuhue,收火
siuhue,收貨
